iter	Passed	Remaining
393	8000	2152
394	8017	2131
395	8034	2110
396	8050	2088
397	8067	2067
398	8083	2046
399	8099	2024
400	8117	2004
401	8136	1983
402	8153	1962
403	8171	1941
404	8187	1920
405	8204	1899
406	8220	1878
407	8236	1857
408	8252	1836
409	8267	1814
410	8283	1793
411	8299	1772
412	8315	1751
413	8332	1730
414	8348	1709
415	8364	1688
416	8379	1667
417	8395	1647
418	8411	1626
419	8428	1605
420	8444	1584
421	8460	1563
422	8477	1543
423	8492	1522
424	8511	1502
425	8531	1482
426	8551	1461
427	8568	1441
428	8584	1420
429	8600	1400
430	8616	1379
431	8632	1358
432	8648	1338
433	8666	1317
434	8685	1297
435	8704	1277
436	8723	1257
437	8742	1237
438	8761	1217
439	8779	1197
440	8795	1176
441	8811	1156
442	8827	1135
443	8843	1115
444	8860	1095
445	8876	1074
446	8893	1054
447	8909	1034
448	8925	1013
449	8942	993
450	8959	973
451	8976	953
452	8992	932
453	9008	912
454	9025	892
455	9041	872
456	9057	852
457	9074	832
458	9091	812
459	9107	791
460	9123	771
461	9140	751
462	9155	731
463	9173	711
464	9190	691
465	9207	671
466	9223	651
467	9242	631
468	9259	612
469	9275	592
470	9292	572
471	9308	552
472	9324	532
473	9340	512
474	9357	492
475	9373	472
476	9390	452
477	9406	432
478	9422	413
479	9438	393
480	9454	373
481	9471	353
482	9488	333
483	9504	314
484	9520	294
485	9541	274
486	9562	255
487	9578	235
488	9594	215
489	9611	196
490	9627	176
491	9643	156
492	9660	137
493	9678	117
494	9694	97
495	9711	78
496	9728	58
497	9745	39
498	9761	19
499	9777	0
